taxi_id,trip_start_timestamp,trip_seconds,trip_miles,trip_total
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-26 18:45:00,265,1.34,9.0
3094cc6f6fb0f6ffa1a796cf2726e797f05edbde1863b87c5af33271659f6d728e3cee329677246856520be243244e6c1a578ec525526ebc91ae3461e51b14d5,2017-04-07 23:45:00,240,1.1,6.25
3094cc6f6fb0f6ffa1a796cf2726e797f05edbde1863b87c5af33271659f6d728e3cee329677246856520be243244e6c1a578ec525526ebc91ae3461e51b14d5,2017-04-08 00:00:00,300,1.7,8.5
3094cc6f6fb0f6ffa1a796cf2726e797f05edbde1863b87c5af33271659f6d728e3cee329677246856520be243244e6c1a578ec525526ebc91ae3461e51b14d5,2017-04-08 01:15:00,600,4.2,13.25
3094cc6f6fb0f6ffa1a796cf2726e797f05edbde1863b87c5af33271659f6d728e3cee329677246856520be243244e6c1a578ec525526ebc91ae3461e51b14d5,2017-04-08 01:45:00,0,1.2,6.0
3094cc6f6fb0f6ffa1a796cf2726e797f05edbde1863b87c5af33271659f6d728e3cee329677246856520be243244e6c1a578ec525526ebc91ae3461e51b14d5,2017-04-08 13:45:00,2280,17.5,49.5
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-26 19:00:00,620,1.85,10.0
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 06:15:00,10,0.0,3.25
368ce5511598af2cc07efdb68067d381174fdac1d47a2837d021e647f4c8febb3d9bf330e155845b8217b9b451c29b1b9ecf5d55d4bfe6cfd5d79ffb49b1f334,2017-03-28 08:00:00,180,0.4,4.5
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 09:00:00,1597,11.05,41.1
368ce5511598af2cc07efdb68067d381174fdac1d47a2837d021e647f4c8febb3d9bf330e155845b8217b9b451c29b1b9ecf5d55d4bfe6cfd5d79ffb49b1f334,2017-03-28 08:15:00,300,0.8,9.0
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 12:15:00,1994,13.37,41.0
368ce5511598af2cc07efdb68067d381174fdac1d47a2837d021e647f4c8febb3d9bf330e155845b8217b9b451c29b1b9ecf5d55d4bfe6cfd5d79ffb49b1f334,2017-03-28 08:30:00,660,1.9,9.25
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 15:30:00,1006,6.77,20.5
368ce5511598af2cc07efdb68067d381174fdac1d47a2837d021e647f4c8febb3d9bf330e155845b8217b9b451c29b1b9ecf5d55d4bfe6cfd5d79ffb49b1f334,2017-03-28 09:15:00,540,1.0,6.75
368ce5511598af2cc07efdb68067d381174fdac1d47a2837d021e647f4c8febb3d9bf330e155845b8217b9b451c29b1b9ecf5d55d4bfe6cfd5d79ffb49b1f334,2017-03-28 11:00:00,240,0.5,7.5
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 17:15:00,528,1.31,9.75
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 17:30:00,366,0.83,8.5
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 18:00:00,634,0.69,6.25
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 18:30:00,274,0.66,6.25
3b308476cf4b044013d90cdc4f72ec6cf3fc85f1cabfbf449161d319372ab92ab4361b3931783e5ff83bfe506b15dd57376029f8a4252172eb4b3aab4e849c77,2017-03-27 19:45:00,285,0.73,6.75
